table,page,AlgortihmID,AlgorithmGroupID,AlgorithmGroup,AlgorithmGroupLabel,Label,Image,ProjRev,BasketSize,PlayLikelihood,ShopFrequency,NewcustomerAcquisiont,Belavg,Abavg,Avg,Score,Compsore,Monthtodate,DatetoEnd,MonthtodateHours,DatetoEndHours,PercentUse,RandomFactor,Costperdate,instanceID,instancetype,state,status,alarm,use,LastMonth,ThisMonth,Predictions
Status/prescription,"19,21",127,1,,Analysis,Long Term Value,,$151,6,25,172,84,84,89,80,1,0.009226501,4769,12%,4725,58%,3%,47%,$92.00,2811,x.large,running,24/7,none,Production,39,96,388
Status/prescription,"19,21",297,1,,Analysis,RFM,,$180,12,22,124,129,98,102,92,5,0.018822384,1490,84%,4868,2%,6%,81%,$1.00,2011,x.large,running,24/7,none,Production,39,96,388
Status/prescription,"19,21",102,1,,Analysis,Repurchase,,$140,9,9,72,60,58,70,65,70,0.414897846,3884,67%,3780,13%,3%,37%,$87.00,3454,x.large,stopped,24/7,none,Production,39,96,388
Status/prescription,"19,21",288,1,,Analysis,Upsell,,$97,11,20,305,337,8,9,1,6,0.02676465,988,100%,3107,69%,1%,8%,$129.00,3030,x.large,running,24/7,none,Production,39,96,388
Status/prescription,"19,21",399,1,,Analysis,Cross-sell,,$5,6,10,123,170,60,76,71,77,0.290126804,362,38%,2048,4%,2%,22%,$193.00,4146,x.large,running,24/7,none,Production,39,96,388
Status/prescription,"19,21",201,1,,Analysis,Long Term Value,,$12,6,13,234,171,94,113,103,110,0.26338635,1404,78%,2349,27%,6%,73%,$195.00,1307,x.large,running,24/7,none,Test,39,96,388
Status/prescription,"19,21",28,1,,Analysis,RFM,,$166,8,4,266,130,28,48,41,2,0.017095642,3720,5%,3812,3%,1%,9%,$89.00,4314,x.large,running,24/7,none,Test,39,96,388
Status/prescription,"19,21",173,1,,Analysis,Repurchase,,$173,8,17,251,289,50,56,49,7,0.042344013,1186,35%,2541,19%,8%,99%,$195.00,,,,,,,39,96,388
Status/prescription,"19,21",169,1,,Analysis,Upsell,,$200,11,3,141,246,83,97,88,90,0.657709949,2850,69%,4652,35%,5%,58%,$2.00,,,,,,,39,96,388
Status/prescription,"19,21",115,1,,Analysis,Cross-sell,,$172,7,18,148,74,38,46,40,41,0.288791085,364,21%,846,49%,0%,1%,$116.00,,,,,,,39,96,388
Status/prescription,"19,21",183,1,,Analysis,Long Term Value,,$148,3,23,321,324,34,41,38,4,0.012039821,1460,25%,2473,31%,4%,37%,$169.00,,,,,,,39,96,388
Status/prescription,"19,21",415,1,,Analysis,RFM,,$3,4,10,343,275,97,115,114,2,0.001682952,258,87%,2384,40%,10%,96%,$31.00,,,,,,,39,96,388
Status/prescription,"19,21",77,1,,Analysis,Repurchase,,$152,12,7,75,290,16,31,30,40,0.282187938,2404,98%,3487,92%,5%,43%,$103.00,,,,,,,39,96,388
Status/prescription,"19,21",388,1,,Analysis,Upsell,,$144,2,15,112,32,19,37,32,38,0.297439965,2398,49%,3444,24%,2%,18%,$91.00,,,,,,,39,96,388
Status,,344,2,,play,Cross-sell,,$69,6,15,40,235,16,22,16,5,0.021436138,4530,65%,1750,100%,4%,36%,$23.00,,,,,,,39,96,388
Status,,73,2,,play,,,,,,3,,54,68,63,73,0.372617888,35,3%,3135,77%,8%,59%,$47.00,,,,,,,39,96,388
Status,,73,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg15,,,,13,,42,60,54,61,0.402064241,4406,59%,4625,40%,14%,99%,$114.00,,,,,,,39,96,388
Status,,73,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg16,,,,,234,85,104,97,98,0.037735127,1497,21%,3374,5%,7%,45%,$190.00,,,,,,,39,96,388
Status,,316,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg18,,$120,,,,61,63,61,67,0.646757656,4195,9%,721,52%,9%,52%,$66.00,,,,,,,39,96,388
Status,,316,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg19,,,10,,,86,88,82,92,0.340293639,4887,99%,956,6%,4%,22%,$31.00,,,,,,,39,96,388
Status,,316,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg20,,,,14,,45,50,48,53,0.374387123,3107,37%,2476,86%,17%,86%,$152.00,,,,,,,39,96,388
Status,,316,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg21,,,,,288,81,87,81,7,0.000374197,2791,84%,3799,26%,18%,76%,$167.00,,,,,,,39,96,388
Status,,168,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg22,,$16,,,,21,33,27,28,0.028789238,1802,36%,1943,18%,4%,6%,$200.00,,,,,,,39,96,388
Status,,168,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg23,,,8,,,3,21,19,26,0.170890517,4579,83%,3342,81%,53%,74%,$143.00,,,,,,,39,96,388
Status,,168,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg24,,,,10,,14,23,14,18,0.115745067,4243,46%,1787,72%,25%,17%,$121.00,,,,,,,39,96,388
Status,,168,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg25,,,,,291,88,108,106,8,0.034413427,4392,17%,560,37%,100%,49%,$34.00,,,,,,,39,96,388
Status,,32,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg22,,$13,,,,80,97,95,7,0.000824115,4674,33%,1262,31%,23%,45%,$111.00,,,,,,,39,96,388
Status,,32,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg23,,,8,,,4,18,15,9,0.060873691,1289,79%,664,56%,18%,27%,$116.00,,,,,,,39,96,388
Status,,32,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg24,,,,13,,89,100,90,8,0.050832428,2786,73%,4373,78%,43%,53%,$6.00,,,,,,,39,96,388
Status,,32,2,,play,,www.image.com/jpg1 www.image.com/jpg23 www.image.com/jpg25,,,,,287,41,59,56,66,0.526749915,80,9%,2056,37%,100%,70%,$159.00,,,,,,,39,96,388
