Recordset,Label,Score,Month,Label,Dollars,Percent,,,,,,,,,,,
1,revenue predications,15/35,april,,,,,,,,,,,,,,
1,revenue predications,14/38,may,,,,,,,,,,,,,,
1,revenue predications,12/39,june,,,,,,,,,,,,,,
1,revenue predications,9/15,july,,,,,,,,,,,,,,
1,revenue predications,15/36,august,,,,,,,,,,,,,,
1,revenue predications,14/39,september,,,,,,,,,,,,,,
1,revenue predications,12/40,october,,,,,,,,,,,,,,
1,revenue predications,9/16,november,,,,,,,,,,,,,,
1,revenue predications,15/37,december,,,,,,,,,,,,,,
1,revenue predications,14/40,january,,,,,,,,,,,,,,
1,revenue predications,12/41,february,,,,,,,,,,,,,,
1,revenue predications,9/17,march,,,,,,,,,,,,,,
2,Spend summary,,,1,$288 ,,,,,,,,,,,,
2,Spend summary,,,2,$163 ,,,,,,,,,,,,
2,Spend summary,,,3,$96 ,,,,,,,,,,,,
2,Spend summary,,,Total,$57 ,,,,,,,,,,,,
3,Channel,,,email,$199 ,3,,,,,,,,,,,
3,Channel,,,web,$202 ,23,,,,,,,,,,,
3,Channel,,,SEO,$58 ,25,,,,,,,,,,,
3,Channel,,,store,$253 ,4,,,,,,,,,,,
4,Shopper Activities,,,Touring,$142 ,12,,,,,,,,,,,
4,Shopper Activities,,,Street,$157 ,17,,,,,,,,,,,
4,Shopper Activities,,,Racing,$231 ,28,,,,,,,,,,,
4,Shopper Activities,,,Offroad,$187 ,23,,,,,,,,,,,
4,Shopper Activities,,,Harley,$72 ,29,,,,,,,,,,,
4,Shopper Activities,,,Cruisin,$299 ,20,,,,,,,,,,,
4,Shopper Activities,,,Snowmobile,$65 ,14,,,,,,,,,,,
5,Productcategory,0,february,Air Intake & Fuel Systems ,$112 ,32,,,,,5,Productcategory,0,,Air Intake & Fuel Systems ,$210 ,16
5,Productcategory,0,february,Audio & Electronics ,$111 ,6,,,,,5,Productcategory,+,,Audio & Electronics ,$205 ,5
5,Productcategory,0,february,Brakes ,$165 ,17,,,,,5,Productcategory,-,,Brakes ,$165 ,3
5,Productcategory,0,february,Clothing ,$159 ,32,,,,,5,Productcategory,0,,Clothing ,$200 ,2
5,Productcategory,+,february,Dash & Speedometers ,$20 ,19,,,,,5,Productcategory,+,,Dash & Speedometers ,$108 ,7
5,Productcategory,-,february,Drivetrain & Transmission ,$210 ,22,,,,,5,Productcategory,-,,Drivetrain & Transmission ,$200 ,11
