day	hour	value
1	1	16
1	2	20
1	3	0
1	4	0
1	5	0
1	6	2
1	7	0
1	8	9
1	9	25
1	10	49
1	11	57
1	12	61
2	1	6
2	2	2
2	3	0
2	4	0
2	5	0
2	6	2
2	7	4
2	8	11
2	9	28
2	10	49
2	11	51
2	12	47
3	1	5
3	2	8
3	3	8
3	4	0
3	5	0
3	6	2
3	7	5
3	8	12
3	9	34
3	10	43
3	11	54
3	12	44
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	4
4	8	13
4	9	26
4	10	58
4	11	61
4	12	59
5	1	2
5	2	0
5	3	8
5	4	2
5	5	0
5	6	2
5	7	4
5	8	14
5	9	31
5	10	48
5	11	46
5	12	50
6	1	2
6	2	0
6	3	2
6	4	0
6	5	0
6	6	0
6	7	4
6	8	8
6	9	8
6	10	6
6	11	14
6	12	12
7	1	7
7	2	6
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	2
7	12	2
8	1	16
8	2	20
8	3	0
8	4	0
8	5	0
8	6	2
8	7	0
8	8	9
8	9	25
8	10	49
8	11	57
8	12	61
9	1	6
9	2	2
9	3	0
9	4	0
9	5	0
9	6	2
9	7	4
9	8	11
9	9	28
9	10	49
9	11	51
9	12	47
10	1	5
10	2	8
10	3	8
10	4	0
10	5	0
10	6	2
10	7	5
10	8	12
10	9	34
10	10	43
10	11	54
10	12	44
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	2
11	7	4
11	8	13
11	9	26
11	10	58
11	11	61
11	12	59
12	1	2
12	2	0
12	3	8
12	4	2
12	5	0
12	6	2
12	7	4
12	8	14
12	9	31
12	10	48
12	11	46
12	12	50
